#,Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
58,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderDefault,std::istrstream (memory mapped),7.622,7.588,7.982,8.14,7.604,7.7872,7.622,38.936
19,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderDefault,std::istrstream (memory mapped),8.842,8.502,8.462,8.493,8.486,8.557,8.493,42.785
11,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.263,1.259,1.259,1.203,1.207,1.2382,1.259,6.191
77,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.33,1.314,1.314,1.321,1.312,1.3182,1.314,6.591
86,2016-05-07,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),2.035,1.396,1.355,1.353,1.378,1.5034,1.378,7.517
63,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.426,1.425,1.431,1.419,1.432,1.4266,1.426,7.133
81,2016-05-07,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),2.455,2.212,1.651,1.541,1.577,1.8872,1.651,9.436
24,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),1.919,1.94,1.919,1.929,1.919,1.9252,1.919,9.626
50,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),2.124,2.129,2.123,2.12,2.289,2.157,2.124,10.785
37,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,dfg::io::BasicImStream (memory mapped),2.211,2.211,2.211,2.222,2.216,2.2142,2.211,11.071
2,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,2.01,2.017,2.013,2.011,2.02,2.0142,2.013,10.071
68,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,4.414,4.417,4.458,4.595,4.536,4.484,4.458,22.42
54,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,6.88,6.859,7.148,6.919,6.827,6.9266,6.88,34.633
28,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,7.006,6.955,6.938,6.949,6.954,6.9604,6.954,34.802
41,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,7.402,7.432,7.781,7.436,7.447,7.4996,7.436,37.498
15,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::ifstream,7.709,7.923,7.824,7.72,7.746,7.7844,7.746,38.922
8,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,CharAppenderNone,std::istringstream (memory mapped),1.84,1.824,1.834,1.85,1.826,1.8348,1.834,9.174
